GEOID,pop_50plus
250092175001,384.0
250092175002,581.0
250092175003,265.0
250092175004,291.0
250092175005,867.0
250092176011,993.0
250092176012,916.0
250092176021,373.0
250092176022,829.0
250092176023,374.0
250092181001,506.0
250092181002,427.0
250092181003,441.0
250092181004,1005.0
250092201011,529.0
250092201012,677.0
250092201013,570.0
250092201014,714.0
250092201021,1191.0
250092201022,416.0
250092211001,700.0
250092211002,781.0
250092211003,694.0
250092213001,1001.0
250092213002,647.0
250092213003,922.0
250092214001,498.0
250092214002,469.0
250092214003,132.0
250092215001,577.0
250092215002,735.0
250092216001,196.0
250092216002,224.0
250092216003,202.0
250092217001,560.0
250092217002,821.0
250092218001,597.0
250092218002,458.0
250092219011,537.0
250092219012,515.0
250092219013,504.0
250092219021,617.0
250092219022,427.0
250092219023,637.0
250092221001,500.0
250092221002,274.0
250092221003,453.0
250092231001,768.0
250092231002,823.0
250092231003,340.0
250092232001,373.0
250092232002,430.0
250092232003,315.0
250092233001,819.0
250092233002,898.0
250092233003,332.0
250092501001,507.0
250092501002,557.0
250092502001,345.0
250092502002,171.0
250092502003,592.0
250092503001,208.0
250092503002,140.0
250092504001,444.0
250092504002,304.0
250092504003,298.0
250092505001,270.0
250092505002,109.0
250092505003,371.0
250092506001,372.0
250092506002,350.0
250092506003,103.0
250092506004,343.0
250092507001,358.0
250092507002,301.0
250092507003,250.0
250092508001,116.0
250092508002,396.0
250092508003,321.0
250092508004,304.0
250092508005,523.0
250092509001,285.0
250092509002,358.0
250092510001,477.0
250092511001,1170.0
250092511002,139.0
250092511003,45.0
250092512001,496.0
250092513001,498.0
250092513002,91.0
250092513003,85.0
250092514001,586.0
250092514002,167.0
250092514003,127.0
250092514004,293.0
250092515001,292.0
250092515002,224.0
250092515003,242.0
250092515004,182.0
250092515005,261.0
250092516001,261.0
250092516002,311.0
250092516003,451.0
250092516004,184.0
250092517001,327.0
250092517002,370.0
250092517003,361.0
250092517004,195.0
250092518001,186.0
250092518002,424.0
250092518003,569.0
250092518004,986.0
250092521011,271.0
250092521012,228.0
250092521013,640.0
250092521021,416.0
250092521022,535.0
250092521023,607.0
250092522011,286.0
250092522012,658.0
250092522021,452.0
250092522022,656.0
250092523001,448.0
250092523002,158.0
250092523003,598.0
250092523004,396.0
250092523005,707.0
250092523006,354.0
250092524001,262.0
250092524002,193.0
250092524003,344.0
250092525011,435.0
250092525012,352.0
250092525013,360.0
250092525021,279.0
250092525022,557.0
250092525023,449.0
250092525024,258.0
250092526011,602.0
250092526012,365.0
250092526013,749.0
250092526014,427.0
250092526021,543.0
250092526022,798.0
250092526023,229.0
250092526031,149.0
250092526032,1051.0
250092531001,323.0
250092531002,343.0
250092531003,594.0
250092531004,384.0
250092531005,152.0
250092532011,511.0
250092532012,576.0
250092532013,34.0
250092532021,397.0
250092532022,242.0
250092532023,402.0
250092532024,1082.0
250092532031,332.0
250092532032,458.0
250092532033,782.0
250092532041,343.0
250092532042,366.0
250092532043,445.0
250092532044,851.0
250092532051,1086.0
250092532052,467.0
250092541001,367.0
250092541002,365.0
250092541003,756.0
250092541004,385.0
250092541005,377.0
250092542001,408.0
250092542002,503.0
250092542003,529.0
250092542004,180.0
250092543011,933.0
250092543012,534.0
250092543021,842.0
250092543022,331.0
250092543023,533.0
250092544011,307.0
250092544012,728.0
250092544021,229.0
250092544022,995.0
250092544023,663.0
250092544024,336.0
250092544031,863.0
250092544032,333.0
250092601001,96.0
250092601002,713.0
250092601003,93.0
250092601004,220.0
250092602001,667.0
250092602002,572.0
250092603011,603.0
250092603012,583.0
250092603013,373.0
250092603021,344.0
250092603022,1074.0
250092604011,324.0
250092604012,435.0
250092604013,134.0
250092604014,689.0
250092604021,856.0
250092604022,347.0
250092604023,47.0
250092604024,1240.0
250092605001,601.0
250092605002,516.0
250092605003,415.0
250092606001,123.0
250092606002,365.0
250092606003,223.0
250092607001,579.0
250092607002,703.0
250092608001,393.0
250092608002,896.0
250092609001,259.0
250092609002,370.0
250092609003,461.0
250092609004,725.0
250092610001,201.0
250092610002,619.0
250092610003,475.0
250092611011,531.0
250092611012,376.0
250092611013,817.0
250092611021,567.0
250092611022,500.0
250092621001,195.0
250092621002,1499.0
250092621003,600.0
250092621004,705.0
250092631001,784.0
250092631002,477.0
250092631003,634.0
250092641001,817.0
250092641002,710.0
250092641003,933.0
250092651011,292.0
250092651012,204.0
250092651013,390.0
250092651014,407.0
250092651021,519.0
250092651022,642.0
250092651023,552.0
250092661001,300.0
250092661002,269.0
250092661003,222.0
250092661004,347.0
250092661005,421.0
250092662001,632.0
250092662002,534.0
250092662003,482.0
250092663001,571.0
250092663002,718.0
250092664001,429.0
250092664002,299.0
250092664003,230.0
250092664004,254.0
250092671021,540.0
250092671022,687.0
250092671023,621.0
250092671024,265.0
250092671031,369.0
250092671032,631.0
250092671041,1031.0
250092681001,191.0
250092681002,698.0
250092682001,664.0
250092682002,396.0
250092682003,648.0
250092682004,41.0
250092682005,1139.0
250092683001,811.0
250092683002,393.0
250092683003,686.0
250092683004,225.0
250092684001,598.0
250092684002,476.0
250092684003,1049.0
250092691001,837.0
250092691002,971.0
250092691003,662.0
250092691004,369.0
250092691005,556.0
250092701001,1392.0
250092701002,907.0
250092701003,525.0
250099901000,0.0
250110401001,591.0
250110401002,584.0
250110401003,530.0
250110401004,452.0
250110402001,728.0
250110402002,475.0
250110402003,634.0
250110403001,537.0
250110403002,726.0
250110404001,422.0
250110404002,532.0
250110404003,336.0
250110405011,161.0
250110405012,320.0
250110405013,251.0
250110405014,494.0
250110405021,307.0
250110405022,521.0
250110405023,744.0
250110406001,816.0
250110406002,879.0
250110406003,563.0
250110407011,403.0
250110407012,203.0
250110407013,432.0
250110407014,286.0
250110407021,386.0
250110407022,415.0
250110407023,273.0
250110407024,715.0
250110408001,623.0
250110408002,32.0
250110408003,420.0
250110408004,458.0
250110409001,234.0
250110409002,1111.0
250110409003,494.0
250110409004,437.0
250110410001,429.0
250110410002,341.0
250110410003,364.0
250110411001,303.0
250110411002,405.0
250110411003,486.0
250110411004,380.0
250110412001,489.0
250110412002,259.0
250110412003,292.0
250110413011,443.0
250110413012,222.0
250110413013,327.0
250110413021,509.0
250110413022,365.0
250110414001,174.0
250110414002,565.0
250110415011,625.0
250110415012,437.0
250110415013,908.0
250110415021,453.0
250110415022,502.0
250110415023,367.0
250110415024,369.0
250138001011,367.0
250138001012,234.0
250138001013,433.0
250138001021,340.0
250138001022,105.0
250138001023,409.0
250138002011,412.0
250138002012,161.0
250138002013,216.0
250138002014,391.0
250138002015,724.0
250138002021,415.0
250138003001,529.0
250138003002,280.0
250138003003,161.0
250138003004,118.0
250138004001,464.0
250138004002,9.0
250138004003,242.0
250138004004,148.0
250138004005,290.0
250138005001,120.0
250138005002,352.0
250138005003,449.0
250138006001,87.0
